"","Hybrid","Hybrid_Parent1","Hybrid_Parent2","Year"
"130499","W10004_1020/PHK76","W10004_1020","PHK76",2001
"130500","W10004_0116/PHK76","W10004_0116","PHK76",2007
"130501","W10004_0628/PHK76","W10004_0628","PHK76",2002
"130502","W10004_0241/PHK76","W10004_0241","PHK76",2014
"130503","TX951/LH195","TX951","LH195",2002
"130504","W10004_0270/PHK76","W10004_0270","PHK76",2002
"130505","PHB47/PHN82","PHB47","PHN82",2007
"130506","W10004_0396/PHK76","W10004_0396","PHK76",2012
"130507","W10004_0687/PHK76","W10004_0687","PHK76",2021
"130508","W10004_0818/PHK76","W10004_0818","PHK76",2009
"130509","W10004_0150/PHK76","W10004_0150","PHK76",2006
"130510","W10004_0900/PHK76","W10004_0900","PHK76",2008
"130511","PHW52/PHN82","PHW52","PHN82",2008
"130512","W10004_0966/PHK76","W10004_0966","PHK76",2022
"130513","W10004_0844/PHK76","W10004_0844","PHK76",2018
"130514","W10004_1140/PHK76","W10004_1140","PHK76",2018
"130515","W10004_0055/PHK76","W10004_0055","PHK76",2022
"130516","W10004_0112/PHK76","W10004_0112","PHK76",2003
"130517","W10004_0035/PHK76","W10004_0035","PHK76",2010
"130518","W10004_0062/PHK76","W10004_0062","PHK76",2013
"130519","W10004_0848/PHK76","W10004_0848","PHK76",2016
"130520","W10004_0047/PHK76","W10004_0047","PHK76",2002
"130521","W10004_0487/PHK76","W10004_0487","PHK76",2019
"130522","W10004_0637/PHK76","W10004_0637","PHK76",2008
"130523","W10004_0327/PHK76","W10004_0327","PHK76",2008
"130524","W10004_0981/PHK76","W10004_0981","PHK76",2012
"130525","W10004_0616/PHK76","W10004_0616","PHK76",2013
"130526","W10004_1004/PHK76","W10004_1004","PHK76",2019
"130527","W10004_0308/PHK76","W10004_0308","PHK76",2016
"130528","W10004_0417/PHK76","W10004_0417","PHK76",2003
"130529","W10004_0078/PHK76","W10004_0078","PHK76",2012
"130530","W10004_0680/PHK76","W10004_0680","PHK76",2007
"130531","W10004_0236/PHK76","W10004_0236","PHK76",2011
"130532","B14A/H95","B14A","H95",2017
"130533","W10004_0501/PHK76","W10004_0501","PHK76",2013
"130534","W10004_0970/PHK76","W10004_0970","PHK76",2013
"130535","B37/MO17","B37","MO17",2012
"130536","W10004_1081/PHK76","W10004_1081","PHK76",2008
"130537","W10004_0971/PHK76","W10004_0971","PHK76",2010
"130538","W10004_0932/PHK76","W10004_0932","PHK76",2017
"130539","W10004_0013/PHK76","W10004_0013","PHK76",2015
"130540","W10004_0190/PHK76","W10004_0190","PHK76",2018
"130541","W10004_0781/PHK76","W10004_0781","PHK76",2013
"130542","W10004_0336/PHK76","W10004_0336","PHK76",2011
"130543","W10004_0238/PHK76","W10004_0238","PHK76",2010
"130544","PHG39/PHN82","PHG39","PHN82",2006
"130545","W10004_0127/PHK76","W10004_0127","PHK76",2011
"130546","W10004_0888/PHK76","W10004_0888","PHK76",2011
"130547","W10004_0194/PHK76","W10004_0194","PHK76",2012
"130548","W10004_0982/PHK76","W10004_0982","PHK76",2007
"130549","W10004_1011/PHK76","W10004_1011","PHK76",2002
"130550","W10004_0093/PHK76","W10004_0093","PHK76",2016
"130551","W10004_0467/PHK76","W10004_0467","PHK76",2016
"130552","W10004_0134/PHK76","W10004_0134","PHK76",2017
"130553","W10004_0220/PHK76","W10004_0220","PHK76",2007
"130554","TX777/LH195","TX777","LH195",2009
"130555","W10004_0110/PHK76","W10004_0110","PHK76",2006
"130556","W10004_0760/PHK76","W10004_0760","PHK76",2017
"130557","W10004_0122/PHK76","W10004_0122","PHK76",2016
"130558","W10004_0311/PHK76","W10004_0311","PHK76",2014
"130559","W10004_0200/PHK76","W10004_0200","PHK76",2007
"130560","B37/OH43","B37","OH43",2002
"130561","W10004_0889/PHK76","W10004_0889","PHK76",2019
"130562","W10004_1112/PHK76","W10004_1112","PHK76",2019
"130563","W10004_0950/PHK76","W10004_0950","PHK76",2011
"130564","W10004_1099/PHK76","W10004_1099","PHK76",2013
"130565","W10004_0943/PHK76","W10004_0943","PHK76",2002
"130566","W10004_0133/PHK76","W10004_0133","PHK76",2021
"130567","W10004_1015/PHK76","W10004_1015","PHK76",2018
"130568","W10004_1000/PHK76","W10004_1000","PHK76",2003
"130569","W10004_0602/PHK76","W10004_0602","PHK76",2017
"130570","W10004_0006/PHK76","W10004_0006","PHK76",2008
"130572","W10004_0059/PHK76","W10004_0059","PHK76",2012
"130573","W10004_0031/PHK76","W10004_0031","PHK76",2009
"130574","W10004_0171/PHK76","W10004_0171","PHK76",2020
"130575","W10004_0834/PHK76","W10004_0834","PHK76",2008
"130576","W10004_0217/PHK76","W10004_0217","PHK76",2004
"130577","W10004_0644/PHK76","W10004_0644","PHK76",2010
"130578","W10004_1123/PHK76","W10004_1123","PHK76",2018
"130579","W10004_0106/PHK76","W10004_0106","PHK76",2017
"130580","W10004_0879/PHK76","W10004_0879","PHK76",2014
