"","Env","Year","Field_Location","Experiment","Replicate","Block","Plot","Range","Pass","Hybrid","Hybrid_orig_name","Hybrid_Parent1","Hybrid_Parent2","Plot_Area_ha","Date_Planted","Date_Harvested","Stand_Count_plants","Pollen_DAP_days","Silk_DAP_days","Plant_Height_cm","Ear_Height_cm","Root_Lodging_plants","Stalk_Lodging_plants","Yield_Mg_ha","Grain_Moisture","Twt_kg_m3"
"130499","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,1,1,2,55,"W10004_1020/PHK76","W10004_1020/PHK76","W10004_1020","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",66,68,67,257,127,1,2,12.2039178901298,14,709.23906388992
"130500","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,1,2,2,56,"W10004_0116/PHK76","W10004_0116/PHK76","W10004_0116","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",64,69,69,246,133,0,7,9.83569373750624,14.3,750.42899137536
"130501","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,1,3,2,57,"W10004_0628/PHK76","W10004_0628/PHK76","W10004_0628","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",60,69,69,242,120,0,3,9.77920283537633,13.5,729.83402763264
"130502","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,1,4,2,58,"W10004_0241/PHK76","W10004_0241/PHK76","W10004_0241","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,68,68,244,118,0,1,10.4401463902962,13.7,723.39810146304
"130503","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,1,5,2,59,"TX951/LH195","REDEAR/LH195","TX951","LH195",0.000812902318640955,"2021-05-20","2021-11-10",59,79,79,271,156,0,1,11.2988081026707,17.3,689.93128538112
"130504","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,1,6,2,60,"W10004_0270/PHK76","W10004_0270/PHK76","W10004_0270","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",64,68,68,239,107,0,1,10.0321565415802,14.7,711.81343435776
"130505","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,1,7,2,61,"PHB47/PHN82","PHB47/PHN82","PHB47","PHN82",0.000812902318640955,"2021-05-20","2021-11-10",57,73,74,268,147,0,1,12.6721647011176,20.7,632.00794985472
"130506","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,1,8,2,62,"W10004_0396/PHK76","W10004_0396/PHK76","W10004_0396","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",56,69,69,261,127,0,2,11.2667965914637,15.2,692.50565584896
"130507","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,1,9,2,63,"W10004_0687/PHK76","W10004_0687/PHK76","W10004_0687","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,69,67,250,135,0,5,11.1990075089079,16,698.94158201856
"130508","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,1,10,2,64,"W10004_0818/PHK76","W10004_0818/PHK76","W10004_0818","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",51,69,69,268,149,0,4,11.0314178325892,17.3,702.80313772032
"130509","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,2,11,2,65,"W10004_0150/PHK76","W10004_0150/PHK76","W10004_0150","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",63,69,69,243,133,0,1,12.3099952507959,15.8,718.24936052736
"130510","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,2,12,2,66,"W10004_0900/PHK76","W10004_0900/PHK76","W10004_0900","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",63,66,66,228,121,0,2,11.9861140785845,14.5,731.12121286656
